gutenberg_author_id,author,birthdate,deathdate
"35556","McKee, Lanier",,
"41290","Hasluck, Paul N. (Paul Nooncree)","1854","1931"
"25811","Grandville, J. J.","1803","1847"
"52372","Pretor, Alfred","1840","1908"
"8721","Alverson, Margaret Blake","1836","1923"
"36789","Hamilton, Mary, Lady","1739","1816"
"3421","Šidlauskas, Juozas",,
"43643","Brigham, Clarence S. (Clarence Saunders)","1877","1963"
"53542","Heijermans, Ida (Ida Sarah)","1866","1943"
"53071","Nichols, H. L.",,
"38881","Knox-Little, W. J. (William John)","1839","1918"
"45311","Torelli, Luigi","1810","1887"
"54316","Gonnet, Manuel B.","1855","1927"
"32718","Wormser, J. A.","1845","1916"
"35764","Ludwig, Otto","1813","1865"
"43014","H. L. L.","1783",
"38194","Warburton, A. F. (Adolphus Frederick)",,
"934","Walter, Frederick Paul","1943",
"33066","Butler, Arthur John","1844","1910"
"51380","Watson, Sally","1924","2022"
"1807","Darwin, Francis, Sir","1848","1925"
"45630","Hill, A. F. (Ashbel Fairchild)","1842","1876"
"45088","Quenneville, N.",,
"47346","Perrin, Alice","1867","1934"
"37828","Quiggin, A. Hingston (Alison Hingston)","1874","1971"
"37343","Gordon, F. C.","1856","1924"
"50341","Alabama Museum of Natural History",,
"48965","Ungern-Sternberg, Maria Stella Petronilla, Baroness","1773","1843"
"49943","Russell, Patrick","1629","1692"
"37454","Hackett, Francis","1883","1962"
"55070","Ostier, Marianne","1902","1976"
"34259","Pierson, Hamilton W. (Hamilton Wilcox)","1817","1888"
"31309","Lenormant, Amélie Cyvoct",,"1893"
"31125","Grist, William",,
"36183","Harvey, Ruth Sawyer",,
"53675","Aiken, George L.","1830","1876"
"35232","Delécluze, E. J. (Etienne Jean)","1781","1863"
"33900","West, Wallace","1900","1980"
"55934","Newell, George E.",,
"4544","Menzel, Wolfgang","1798","1873"
"46348","British Museum. Department of Coins and Medals",,
"6920","Upton, Florence K. (Florence Kate)","1873","1922"
"35176","Fitzpatrick, Kathleen",,
"31137","Langhuanshanqiao, active 18th century-19th century",,
"41812","Newmark, Harris","1834","1916"
"40879","Gilbert, Frank","1839","1899"
"6220","Bleyer, Willard Grosvenor","1873","1935"
"32243","Kivimäki, Urho","1889","1958"
"6774","Brinkerhoff, R. M.",,
"53761","Elton, Charles Abraham, Sir","1778","1853"
"36042","Turner, Robert",,
"37494","Culter, Richard",,
"35258","Squire, John Collings, Sir","1884","1958"
"45945","Pérez Triana, Santiago","1858","1916"
"42554","Gregory, Owen",,
"47901","Li, Chunfang, active 17th century",,
"47607","Sarl, Arthur J.",,
"26235","Spalding, Henry",,
"5839","Bergsøe, Vilhelm","1835","1911"
"51671","Schneider, Norris F. (Norris Franz)","1898","1993"
"41062","Cohen de Vries, P. J.",,
"2877","Wall, Charles Heron",,
"49247","Brown, Mills",,
"2372","Fletcher, Robert Huntington","1875","1919"
"56095","Oesterley, W. O. E. (William Oscar Emil)","1866","1950"
"37512","Miller, Frank Justus","1858","1938"
"43646","Chase, Hiram",,
"6307","Greenaway, Kate","1846","1901"
"32567","Cable, Mildred","1878","1952"
"270","Sousa, John Philip","1854","1932"
"38510","Kohn, S. (Salomon)","1825","1904"
"44851","Bishop, Georgianna M.",,
"25189","MacBeth, R. G. (Roderick George)","1858","1934"
"36058","Vischer, Melchior","1895","1975"
"55216","Fitzgerald, Michael","1859","1925"
"9003","Ward, John Montgomery","1860","1925"
"45271","Nettleship, David N.","1942",
"33078","Pictorial Photographers of America",,
"46872","Covan, Jenny",,
"37170","Sack, Gustav","1885","1916"
"33375","Forester, Thomas",,
"26199","Han, Fei",,"-233"
"32714","Jester, Annie Lash",,
"56112","Allen, Leslie Holdsworth","1879","1964"
"36764","Jones, Mabel Cronise","1860",
"50698","Dafforne, James","1804","1880"
"37611","Wallack, Lester","1820","1888"
"39473","Sabatier, Auguste","1839","1901"
"43500","Corbould, Edward Henry","1815","1905"
"49976","Dukes, Ashley","1885","1959"
"52896","Doremus, Hal",,
"53666","Des Amorie van der Hoeven, Abm. (Abraham), Jr.","1821","1848"
"51529","Hoffman, Arthur Sullivant","1876","1966"
"37927","McCulley, Johnston","1883","1958"
"8061","Williams, John Lauris Blake",,
"46061","Wood, George W. (George Warren)","1814","1901"
"34402","Intercollegiate Peace Association",,
"44814","Dovaston, Freeman",,
"52788","Rákosi, Jenő","1842","1929"
"24764","Otway, Thomas","1652","1685"
"57147","Stjernström, Jeanette","1825","1857"
"35695","Arr, Stephen","1921","2012"
"48559","Delboeuf, Joseph-Remi-Leopold","1831","1896"
"43015","Fowler, Harold North","1859","1955"
"50764","Alexander, James B. (James Bradun)","1831","1914"
"31323","Wright, Orville","1871","1948"
"2828","Sleeper, John Sherburne","1794","1878"
"48714","Hartmann, Paul","1890","1958"
"44323","Dobyns, Harold Warren","1896",
"6301","Barlow, Jane","1856","1917"
"32030","Kevorkian, Hagop K.",,
"7624","Bruce, Wallace","1844","1914"
"55667","Inhülsen, Otto W. H.","1868",
"40684","Yradier, Sebastián","1809","1865"
"53623","Frederiksen, Johan Ditlev","1848",
"31617","Greene, John Richard","1837","1883"
"49219","Redaelli, Carlo",,
"46019","Rameau, Jean","1859","1942"
"33960","Hooper, Mary","1829","1904"
"6578","Gilbreth, Lillian Moller","1878","1972"
"53634","Porter, Noah","1811","1892"
"244","Parlette, Ralph Albert","1870","1930"
"4910","Ferrero, Guglielmo","1871","1942"
"42264","United States. Army. Signal Corps",,
"25256","Meyer, Zoe",,
"46955","Páez, Ramón",,
